               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.025498,           0.0080188,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049706,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.035096,           0.0087756,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048728,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.027332,           0.0086642,                   0,                   0,                   0,                   0,                   0,                   0,            0.005074,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.02614,           0.0084497,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050836,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024516,           0.0084411,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054045,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029027,           0.0073602,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053959,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02509,           0.0072427,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053439,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026818,            0.008293,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053577,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023414,           0.0081214,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054297,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.030604,           0.0079933,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053325,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.025413,           0.0088145,                   0,                   0,                   0,                   0,                   0,                   0,            0.005384,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.025494,           0.0086591,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051904,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023502,           0.0079928,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053902,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.027941,           0.0076466,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054178,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024342,           0.0076335,                   0,                   0,                   0,                   0,                   0,                   0,             0.00529,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023383,           0.0083005,                   0,                   0,                   0,                   0,                   0,                   0,             0.00527,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022099,           0.0085272,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056262,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.024818,           0.0088408,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056028,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023919,           0.0076968,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056715,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021905,            0.007141,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055785,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021862,           0.0071656,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056758,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.023882,           0.0071693,                   0,                   0,                   0,                   0,                   0,                   0,            0.005528,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020376,           0.0072557,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055838,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.021216,           0.0075034,                   0,                   0,                   0,                   0,                   0,                   0,            0.005579,                   0,            0.001981,            0.001981,            0.001981
